Order SARIMAX,AIC,BIC,LB min p,White Noise,Terpilih
"(2, 0, 2)(1, 0, 1, 12)",1185.09,1211.66,0.0007,Tidak (✗),◀ BEST
"(2, 0, 2)(1, 0, 0, 12)",1185.12,1207.91,0.0008,Tidak (✗),
"(2, 0, 0)(1, 0, 0, 12)",1191.06,1206.26,0.0,Tidak (✗),
"(2, 0, 1)(1, 0, 0, 12)",1192.83,1211.83,0.0,Tidak (✗),
"(2, 0, 0)(1, 0, 1, 12)",1194.72,1213.71,0.0,Tidak (✗),
