Order SARIMAX,AIC,BIC,LB min p,White Noise,Terpilih
"(2, 0, 2)(0, 0, 1, 12)",1154.62,1188.78,0.0828,Ya (✓),◀ BEST
"(2, 0, 0)(1, 0, 1, 12)",1163.08,1193.47,0.025,Tidak (✗),
"(2, 0, 1)(0, 0, 1, 12)",1163.4,1193.79,0.0226,Tidak (✗),
"(2, 0, 0)(0, 0, 1, 12)",1164.64,1191.25,0.0257,Tidak (✗),
"(2, 0, 1)(1, 0, 1, 12)",1164.93,1199.13,0.0325,Tidak (✗),
