Order SARIMAX,AIC,BIC,LB min p,White Noise,Terpilih
"(2, 0, 2)(1, 0, 0, 12)",1189.87,1227.86,0.0013,Tidak (✗),◀ BEST
"(2, 0, 2)(1, 0, 1, 12)",1191.89,1233.64,0.0013,Tidak (✗),
"(2, 0, 0)(1, 0, 0, 12)",1195.35,1225.74,0.0001,Tidak (✗),
"(2, 0, 1)(1, 0, 0, 12)",1196.89,1231.08,0.0001,Tidak (✗),
"(2, 0, 0)(1, 0, 1, 12)",1200.11,1234.3,0.0001,Tidak (✗),
