date,indeks_vix
1990-01-01,23.34727272727273
1990-02-01,23.26263157894737
1990-03-01,20.06227272727273
1990-04-01,21.4035
1990-05-01,18.09772727272727
1990-06-01,16.82238095238095
1990-07-01,18.39285714285714
1990-08-01,28.17521739130435
1990-09-01,29.10736842105263
1990-10-01,29.62565217391304
1990-11-01,24.88571428571429
1990-12-01,23.363
1991-01-01,27.42909090909091
1991-02-01,21.59842105263158
1991-03-01,17.74421052631579
1991-04-01,17.37272727272727
1991-05-01,16.93227272727273
1991-06-01,17.135
1991-07-01,17.29409090909091
1991-08-01,15.68136363636364
1991-09-01,16.9565
1991-10-01,16.36391304347826
1991-11-01,17.7735
1991-12-01,18.34761904761905
1992-01-01,17.68318181818182
1992-02-01,17.47736842105263
1992-03-01,17.52045454545454
1992-04-01,16.56285714285714
1992-05-01,15.077
1992-06-01,15.20318181818182
1992-07-01,13.60181818181818
1992-08-01,14.42190476190476
1992-09-01,13.69666666666667
1992-10-01,17.63681818181818
1992-11-01,14.4245
1992-12-01,12.19136363636363
1993-01-01,12.409
1993-02-01,13.72157894736842
1993-03-01,13.60608695652174
1993-04-01,12.84095238095238
1993-05-01,13.606
1993-06-01,12.52409090909091
1993-07-01,11.50047619047619
1993-08-01,11.92863636363636
1993-09-01,12.93142857142857
1993-10-01,11.87523809523809
1993-11-01,14.08380952380952
1993-12-01,11.35636363636364
1994-01-01,11.29047619047619
1994-02-01,13.64421052631579
1994-03-01,15.22347826086956
1994-04-01,16.47105263157895
1994-05-01,13.89714285714286
1994-06-01,13.40863636363636
1994-07-01,12.4845
1994-08-01,11.88913043478261
1994-09-01,13.23333333333333
1994-10-01,15.24523809523809
1994-11-01,16.38380952380952
1994-12-01,14.17714285714286
1995-01-01,12.27428571428571
1995-02-01,11.47
1995-03-01,12.16652173913043
1995-04-01,12.44263157894737
1995-05-01,12.26590909090909
1995-06-01,11.89681818181818
1995-07-01,12.514
1995-08-01,12.79826086956522
1995-09-01,12.057
1995-10-01,14.35727272727273
1995-11-01,12.46904761904762
1995-12-01,11.7485
