date,harga_emas_dunia_usd_per_troy_ounce
1990-01-01,376.95
1990-02-01,383.64
1990-03-01,363.83
1990-04-01,363.33
1990-05-01,358.38
1990-06-01,356.95
1990-07-01,366.72
1990-08-01,367.68
1990-09-01,356.3
1990-10-01,348.74
1990-11-01,358.69
1990-12-01,360.17
1991-01-01,361.72
1991-02-01,354.45
1991-03-01,353.91
1991-04-01,344.34
1991-05-01,338.62
1991-06-01,337.24
1991-07-01,340.8
1991-08-01,352.72
1991-09-01,343.06
1991-10-01,345.43
1991-11-01,344.38
1991-12-01,335.02
1992-01-01,334.8
1992-02-01,329.01
1992-03-01,329.31
1992-04-01,330.08
1992-05-01,342.15
1992-06-01,367.18
1992-07-01,371.89
1992-08-01,392.19
1992-09-01,378.84
1992-10-01,355.27
1992-11-01,364.18
1992-12-01,373.83
1993-01-01,383.3
1993-02-01,386.87
1993-03-01,381.91
1993-04-01,384.13
1993-05-01,377.27
1993-06-01,381.41
1993-07-01,385.64
1993-08-01,385.49
1993-09-01,380.35
1993-10-01,391.57
1993-11-01,389.77
1993-12-01,384.39
1994-01-01,379.29
1994-02-01,378.55
1994-03-01,376.64
1994-04-01,382.12
1994-05-01,391.03
1994-06-01,385.22
1994-07-01,387.56
1994-08-01,386.23
1994-09-01,383.65
1994-10-01,383.05
1994-11-01,383.14
1994-12-01,385.31
1995-01-01,387.44
1995-02-01,399.45
1995-03-01,404.76
1995-04-01,396.21
1995-05-01,392.85
1995-06-01,391.93
1995-07-01,385.27
1995-08-01,383.47
1995-09-01,387.33
1995-10-01,383.18
1995-11-01,381.07
1995-12-01,377.85
1996-01-01,369.0
1996-02-01,355.1
1996-03-01,346.58
1996-04-01,351.81
1996-05-01,344.47
1996-06-01,343.84
1996-07-01,340.76
1996-08-01,324.1
1996-09-01,324.01
1996-10-01,322.82
1996-11-01,324.87
1996-12-01,306.04
1997-01-01,288.74
1997-02-01,289.1
1997-03-01,297.49
1997-04-01,295.94
1997-05-01,308.28
1997-06-01,299.1
1997-07-01,292.32
1997-08-01,292.87
1997-09-01,284.11
1997-10-01,288.98
1997-11-01,295.93
1997-12-01,294.12
1998-01-01,291.68
1998-02-01,287.12
1998-03-01,287.33
1998-04-01,285.96
1998-05-01,282.62
1998-06-01,276.44
1998-07-01,261.31
1998-08-01,256.08
1998-09-01,256.69
1998-10-01,264.74
1998-11-01,310.72
1998-12-01,293.18
1999-01-01,287.12
1999-02-01,287.33
1999-03-01,285.96
1999-04-01,282.62
1999-05-01,276.44
1999-06-01,261.31
1999-07-01,256.08
1999-08-01,256.69
1999-09-01,264.74
1999-10-01,310.72
1999-11-01,293.18
1999-12-01,283.07
2000-01-01,284.32
2000-02-01,299.86
2000-03-01,286.39
2000-04-01,279.69
2000-05-01,275.19
2000-06-01,285.73
2000-07-01,281.59
2000-08-01,274.47
2000-09-01,273.68
2000-10-01,270.0
2000-11-01,266.01
2000-12-01,271.45
2001-01-01,265.49
2001-02-01,261.86
2001-03-01,263.03
2001-04-01,260.48
2001-05-01,272.35
2001-06-01,270.23
2001-07-01,267.53
2001-08-01,272.39
2001-09-01,283.42
2001-10-01,283.06
2001-11-01,276.16
2001-12-01,275.85
2002-01-01,281.51
2002-02-01,295.5
2002-03-01,294.05
2002-04-01,302.68
2002-05-01,314.49
2002-06-01,321.18
2002-07-01,313.29
2002-08-01,310.25
2002-09-01,319.14
2002-10-01,316.56
2002-11-01,319.07
2002-12-01,331.92
2003-01-01,356.86
2003-02-01,358.97
2003-03-01,340.55
2003-04-01,328.18
2003-05-01,355.68
2003-06-01,356.35
2003-07-01,351.02
2003-08-01,359.77
2003-09-01,378.95
2003-10-01,378.92
2003-11-01,389.91
2003-12-01,406.95
2004-01-01,413.79
2004-02-01,404.88
2004-03-01,406.67
2004-04-01,403.26
2004-05-01,383.78
2004-06-01,392.37
2004-07-01,398.09
2004-08-01,400.51
2004-09-01,405.28
2004-10-01,420.46
2004-11-01,439.38
2004-12-01,442.08
2005-01-01,424.03
2005-02-01,423.35
2005-03-01,434.32
2005-04-01,429.23
2005-05-01,421.87
2005-06-01,430.66
2005-07-01,424.48
2005-08-01,437.93
2005-09-01,456.05
2005-10-01,469.9
2005-11-01,476.67
2005-12-01,510.1
2006-01-01,549.86
2006-02-01,555.0
2006-03-01,557.09
2006-04-01,610.65
2006-05-01,675.39
2006-06-01,596.15
2006-07-01,633.71
2006-08-01,632.59
2006-09-01,598.19
2006-10-01,585.78
2006-11-01,627.83
2006-12-01,629.79
2007-01-01,631.17
2007-02-01,664.75
2007-03-01,654.9
2007-04-01,679.37
2007-05-01,666.86
2007-06-01,655.49
2007-07-01,665.3
2007-08-01,665.41
2007-09-01,712.65
2007-10-01,754.6
2007-11-01,806.25
2007-12-01,803.2
2008-01-01,889.6
2008-02-01,922.3
2008-03-01,968.43
