date,cadangan_devisa_juta_usd
2007-12-01,54976.431523296
2008-01-01,53842.3343691125
2008-02-01,54873.6979076959
2008-03-01,56827.9700716344
2008-04-01,56704.2731861972
2008-05-01,55391.4447408358
2008-06-01,57295.0636527488
2008-07-01,58457.047654389
2008-08-01,56388.6969613481
2008-09-01,55019.7074853504
2008-10-01,48805.0578684167
2008-11-01,48270.0793961078
2008-12-01,49596.7132213198
2009-01-01,48773.3011488402
2009-02-01,48365.4071717139
2009-03-01,52662.955467891
2009-04-01,54457.5711660076
2009-05-01,55688.3303498902
2009-06-01,55380.6471036701
2009-07-01,55230.1909961508
2009-08-01,58114.7843339848
2009-09-01,59977.779443441
2009-10-01,62091.4660472134
2009-11-01,63105.85925564529
2009-12-01,63563.2929681398
2010-01-01,67004.3073467916
2010-02-01,67143.946847767
2010-03-01,69222.54121671831
2010-04-01,75849.5549577341
2010-05-01,71753.2396192547
2010-06-01,73431.0246978615
2010-07-01,76059.6639535152
2010-08-01,78418.1724993776
2010-09-01,83489.3046554912
2010-10-01,88673.0568126478
2010-11-01,89563.6901985951
2010-12-01,92908.0555840428
2011-01-01,92231.3118721524
2011-02-01,96333.7046963071
2011-03-01,102374.494228065
2011-04-01,110212.671381445
2011-05-01,112719.993023851
2011-06-01,116130.232196215
2011-07-01,118879.269424664
2011-08-01,120545.909450564
2011-09-01,110673.423685861
2011-10-01,109854.400390576
2011-11-01,107280.405441495
2011-12-01,106538.747662435
2012-01-01,107939.495890711
2012-02-01,108041.857888415
2012-03-01,106610.708608208
2012-04-01,112510.877737877
2012-05-01,107911.127743933
2012-06-01,102857.760264873
2012-07-01,102763.057108226
2012-08-01,105096.356672998
2012-09-01,106038.9973425
2012-10-01,106288.172067292
2012-11-01,107237.016547074
2012-12-01,108837.307833066
2013-01-01,104693.067892316
2013-02-01,101274.077303602
2013-03-01,100899.156142927
2013-04-01,103640.28114788
2013-05-01,101631.997480722
2013-06-01,95001.426002298
2013-07-01,89344.7678273555
2013-08-01,89462.0787926285
2013-09-01,92312.3715481971
2013-10-01,93584.9163988631
2013-11-01,93834.0635566445
2013-12-01,96363.5312390833
2014-01-01,97468.8558948612
2014-02-01,99408.625943885
2014-03-01,99340.0121947616
2014-04-01,102303.837263246
2014-05-01,103897.153836081
2014-06-01,104374.688061081
2014-07-01,107285.240335111
2014-08-01,108023.16254929
2014-09-01,108094.605762004
2014-10-01,108950.110433446
2014-11-01,108144.913637114
2014-12-01,108835.534561997
2015-01-01,111066.762807115
2015-02-01,112481.79424532
2015-03-01,108570.554534939
2015-04-01,107850.462420344
2015-05-01,107798.024910417
2015-06-01,105083.99196999
2015-07-01,104823.969808926
2015-08-01,102489.01345582
2015-09-01,98876.1494774595
2015-10-01,97836.2288709344
2015-11-01,97583.8054800864
2015-12-01,103268.247088719
2016-01-01,99334.128541036
2016-02-01,101451.511705095
2016-03-01,104443.809676732
2016-04-01,104565.425935041
2016-05-01,100532.832900311
2016-06-01,106477.401169098
2016-07-01,108046.725822547
2016-08-01,110225.937040592
2016-09-01,112357.322021306
2016-10-01,111845.868944362
2016-11-01,108490.981418797
2016-12-01,113493.392851059
2017-01-01,113904.589254927
2017-02-01,116709.645394044
2017-03-01,118665.259946974
2017-04-01,120083.391594007
2017-05-01,121739.978059681
2017-06-01,119948.958309784
2017-07-01,124484.915073133
2017-08-01,125386.96948154
2017-09-01,126079.701487381
2017-10-01,123253.081555465
2017-11-01,122638.205003645
2017-12-01,126857.395382957
2018-01-01,128498.172045451
2018-02-01,124612.690442413
2018-03-01,122543.191256546
2018-04-01,121437.875918491
2018-05-01,119547.940177365
2018-06-01,116681.858859889
2018-07-01,115225.049967449
2018-08-01,114902.14926556
2018-09-01,111841.286259472
2018-10-01,112068.703678446
2018-11-01,114115.246222633
2018-12-01,117424.645942922
2019-01-01,116772.193014721
2019-02-01,119934.012481127
2019-03-01,121269.199866062
2019-04-01,121039.179247117
2019-05-01,117113.609356101
2019-06-01,120281.951799337
2019-07-01,122299.287090662
2019-08-01,122549.482205516
2019-09-01,120568.337001921
2019-10-01,122915.409932134
2019-11-01,122953.919050639
