Model,MAE,RMSE,MASE,%Δ MAE vs BASE,%Δ RMSE vs BASE,%Δ MASE vs BASE,DM-stat (vs BASE),p-value,Signifikan (α=0.05),Kesimpulan
Hybrid_BASE,0.3693,0.5078,0.4034,0.0,0.0,0.0,,,—,Baseline (tanpa eksogen)
Hybrid_DOM,0.3225,0.4779,0.3523,-12.67,-5.87,-12.67,1.6458,0.1071,Tidak,Tidak berbeda signifikan dari BASE
Hybrid_GLOBAL,0.3586,0.4705,0.3918,-2.88,-7.33,-2.88,1.8675,0.0687,Tidak,Tidak berbeda signifikan dari BASE
Hybrid_ALL,0.4041,0.5304,0.4415,9.43,4.46,9.43,-0.7364,0.4655,Tidak,Tidak berbeda signifikan dari BASE
