Model,MAE,RMSE,MASE,%Δ MAE vs BASE,%Δ RMSE vs BASE,%Δ MASE vs BASE,DM-stat (vs BASE),p-value,Signifikan (α=0.05),Kesimpulan
LSTM_BASE,0.3865,0.4714,0.4223,0.0,0.0,0.0,,,—,Baseline (tanpa eksogen)
LSTM_DOM,0.451,0.5512,0.4928,16.69,16.94,16.69,-2.9957,0.0045,Ya,Signifikan LEBIH BURUK dari BASE
LSTM_GLOBAL,0.926,1.1284,1.0117,139.59,139.39,139.59,-4.8484,0.0,Ya,Signifikan LEBIH BURUK dari BASE
LSTM_ALL,0.6773,0.8342,0.7399,75.23,76.98,75.23,-4.1602,0.0001,Ya,Signifikan LEBIH BURUK dari BASE
